datetime,temp,feelslike,dew,humidity,precip,snow,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,description,source,city,temp_range,heat_index,severity_score,month,season,day_of_week,is_weekend,health_risk_score
2024-09-10,77.0,77.1,58.8,54.2,0.016,0.0,1010.7,8.8,12.2,273.8,23.7,9.0,0.25,Clear conditions throughout the day.,fcst,Los Angeles,19.19999999999999,78.69875953840004,3.8116,9.0,Fall,Tuesday,False,9.935763153840004
2024-09-11,68.6,68.6,59.9,74.5,0.0,0.0,1007.3,14.7,15.0,277.6,23.8,9.0,0.29,Clear conditions throughout the day.,fcst,Los Angeles,15.6,72.29696240940004,3.46,9.0,Fall,Wednesday,False,9.807396240940005
2024-09-12,67.2,67.2,61.4,82.6,0.0,0.0,1005.5,17.3,15.0,266.8,23.2,9.0,0.32,Clear conditions throughout the day.,fcst,Los Angeles,16.39999999999999,68.74312910198391,3.3200000000000003,9.0,Fall,Thursday,False,9.61663291019839
2024-09-13,67.1,67.1,62.8,87.1,0.0,0.0,1008.8,23.3,15.0,263.3,22.8,9.0,0.36,Partly cloudy throughout the day.,fcst,Los Angeles,15.600000000000009,66.39536281334081,3.3200000000000003,9.0,Fall,Friday,False,9.53125628133408
2024-09-14,67.1,67.1,62.6,87.0,0.0,0.0,1011.3,18.7,15.0,263.6,22.8,9.0,0.39,Clear conditions throughout the day.,fcst,Los Angeles,16.199999999999996,66.44999263240003,3.37,9.0,Fall,Saturday,True,9.576899263240003
2024-09-15,72.1,71.6,43.3,40.0,0.0,0.0,1011.3,2.4,15.0,269.3,23.5,9.0,0.42,Clear conditions throughout the day.,fcst,Los Angeles,22.700000000000003,76.96968048870002,2.49,9.0,Fall,Sunday,True,8.692968048870002
2024-09-16,70.5,70.3,44.9,41.4,0.0,0.0,1010.8,0.9,15.0,268.5,23.3,9.0,0.46,Clear conditions throughout the day.,fcst,Los Angeles,19.09999999999999,77.0098883588001,2.54,9.0,Fall,Monday,False,8.75254883588001
2024-09-17,65.1,65.1,45.4,50.7,0.0,0.0,1011.0,1.8,15.0,265.3,23.1,9.0,0.5,Clear conditions throughout the day.,fcst,Los Angeles,18.4,78.61922592050895,2.47,9.0,Fall,Tuesday,False,9.114212592050896
2024-09-18,63.4,63.4,45.3,53.1,0.0,0.0,1012.3,0.1,15.0,263.8,23.1,9.0,0.52,Clear conditions throughout the day.,fcst,Los Angeles,19.09999999999999,79.60290708293604,2.27,9.0,Fall,Wednesday,False,9.165660708293604
2024-09-19,62.2,62.2,47.6,60.6,0.008,0.0,1012.8,6.0,15.0,260.6,22.7,9.0,0.56,Clear conditions throughout the day.,fcst,Los Angeles,17.999999999999993,79.42624542262408,2.4008000000000003,9.0,Fall,Thursday,False,9.397509342262408
2024-09-20,62.8,62.8,46.0,55.5,0.0,0.0,1011.9,0.0,15.0,256.9,22.1,9.0,0.59,Clear conditions throughout the day.,fcst,Los Angeles,18.9,79.81878418970012,2.2,9.0,Fall,Friday,False,9.202878418970013
2024-09-21,65.0,65.0,49.4,59.2,0.0,0.0,1012.8,25.3,15.0,253.1,21.8,8.0,0.63,Partly cloudy throughout the day.,fcst,Los Angeles,20.499999999999996,77.56917738719997,2.0700000000000003,9.0,Fall,Saturday,True,8.982357738719998
2024-09-07,78.6,79.7,68.4,72.3,0.0,0.0,1008.7,50.5,9.6,229.2,19.7,8.0,0.16,Clearing in the afternoon.,comb,San Diego,12.099999999999994,80.97766631458414,3.1,9.0,Fall,Saturday,True,10.339066631458415
2024-09-08,80.5,81.7,65.6,60.8,0.0,0.0,1008.4,30.4,9.8,252.6,21.8,8.0,0.19,Partly cloudy throughout the day.,fcst,San Diego,9.900000000000006,82.52178940870012,3.3200000000000003,9.0,Fall,Sunday,True,10.270738940870013
2024-09-09,78.9,79.8,65.0,62.6,0.0,0.0,1009.7,27.3,9.9,288.4,25.0,9.0,0.22,Partly cloudy throughout the day.,fcst,San Diego,8.099999999999994,80.75514133681594,3.63,9.0,Fall,Monday,False,10.347894133681594
2024-09-10,74.8,74.8,65.0,71.9,0.004,0.0,1009.8,26.5,12.2,272.9,23.6,9.0,0.25,Partly cloudy throughout the day.,fcst,San Diego,9.900000000000006,76.30679768064417,3.8404,9.0,Fall,Tuesday,False,10.391927368064415
2024-09-11,68.5,68.5,63.0,82.6,0.0,0.0,1007.5,38.4,15.0,282.4,24.4,9.0,0.29,Partly cloudy throughout the day.,fcst,San Diego,6.299999999999997,69.13988640360012,3.54,9.0,Fall,Wednesday,False,9.838028640360012
2024-09-12,67.4,67.4,62.3,83.7,0.0,0.0,1005.6,48.5,15.0,270.0,23.3,9.0,0.32,Partly cloudy throughout the day.,fcst,San Diego,5.200000000000003,68.2541074931442,3.59,9.0,Fall,Thursday,False,9.83024074931442
2024-09-13,67.1,67.1,62.5,85.2,0.0,0.0,1008.8,43.5,15.0,264.4,22.7,9.0,0.36,Partly cloudy throughout the day.,fcst,San Diego,4.900000000000006,67.41091899132411,3.2300000000000004,9.0,Fall,Friday,False,9.49305189913241
2024-09-14,67.0,67.0,62.6,85.8,0.0,0.0,1010.8,35.7,15.0,268.3,23.4,9.0,0.39,Partly cloudy throughout the day.,fcst,San Diego,7.5,67.06539877039994,3.21,9.0,Fall,Saturday,True,9.460719877039994
2024-09-15,69.8,69.8,61.8,76.2,0.0,0.0,1010.8,4.2,15.0,268.7,23.3,9.0,0.42,Clear conditions throughout the day.,fcst,San Diego,8.800000000000011,72.04975605193613,2.56,9.0,Fall,Sunday,True,9.155695605193612
2024-09-16,69.0,69.0,60.6,74.7,0.0,0.0,1010.6,1.3,15.0,266.0,23.1,9.0,0.46,Clear conditions throughout the day.,fcst,San Diego,3.5999999999999943,72.30086587580027,2.63,9.0,Fall,Monday,False,9.194696587580028
2024-09-17,66.6,66.6,57.7,72.9,0.012,0.0,1010.8,8.9,15.0,266.1,23.1,9.0,0.5,Clear conditions throughout the day.,fcst,San Diego,3.3999999999999915,72.9185106067761,2.4912,9.0,Fall,Tuesday,False,9.10793586067761
2024-09-18,66.0,66.0,55.6,69.3,0.012,0.0,1012.5,16.5,15.0,249.8,21.5,9.0,0.52,Clear conditions throughout the day.,fcst,San Diego,3.4000000000000057,74.3622285149,2.5612,9.0,Fall,Wednesday,False,9.21113445149
2024-09-19,66.5,66.5,56.1,69.2,0.035,0.0,1013.0,31.3,15.0,261.6,22.6,9.0,0.56,Partly cloudy throughout the day.,fcst,San Diego,3.3999999999999915,74.23447926429995,2.6935,9.0,Fall,Thursday,False,9.287349926429997
2024-09-20,66.1,66.1,55.0,67.5,0.0,0.0,1011.9,33.3,15.0,237.9,20.5,9.0,0.59,Partly cloudy throughout the day.,fcst,San Diego,2.200000000000003,74.90557614132493,2.52,9.0,Fall,Friday,False,9.191557614132494
2024-09-21,66.5,66.5,56.5,70.4,0.0,0.0,1012.9,24.3,15.0,254.8,22.1,9.0,0.63,Partly cloudy throughout the day.,fcst,San Diego,3.299999999999997,73.83483784869998,2.47,9.0,Fall,Saturday,True,9.122363784869998
2024-09-07,69.4,69.4,62.5,78.8,0.395,0.0,1011.6,79.4,9.8,128.1,11.0,5.0,0.15,Partly cloudy throughout the day with rain in the morning and afternoon.,comb,New York City,10.9,71.01342095862421,3.3395,9.0,Fall,Saturday,True,9.73286809586242
2024-09-08,63.0,63.0,45.1,54.3,0.0,0.0,1016.6,5.4,10.1,276.7,23.8,8.0,0.19,Clear conditions throughout the day.,fcst,New York City,17.199999999999996,79.80021067819997,3.68,9.0,Fall,Sunday,True,9.978261067819997
2024-09-09,66.5,66.5,47.6,52.2,0.0,0.0,1019.4,15.0,10.1,251.9,21.9,7.0,0.22,Clear conditions throughout the day.,fcst,New York City,23.1,77.75968451080004,3.12,9.0,Fall,Monday,False,9.404608451080003
2024-09-10,71.3,71.3,54.8,56.8,0.039,0.0,1019.0,7.7,11.9,269.3,23.3,7.0,0.25,Clear conditions throughout the day.,fcst,New York City,16.199999999999996,76.358452862076,2.5439,9.0,Fall,Tuesday,False,9.0807804862076
2024-09-11,72.1,72.1,57.2,60.4,0.0,0.0,1021.7,13.1,15.0,264.8,22.9,6.0,0.25,Clear conditions throughout the day.,fcst,New York City,16.0,76.09498252503596,2.41,9.0,Fall,Wednesday,False,9.065138252503596
2024-09-12,73.8,73.9,59.7,62.5,0.0,0.0,1022.3,12.1,15.0,257.8,22.2,6.0,0.32,Clear conditions throughout the day.,fcst,New York City,16.0,76.52142112380011,2.63,9.0,Fall,Thursday,False,9.29589211238001
2024-09-13,74.2,74.4,59.7,61.3,0.0,0.0,1021.6,21.0,15.0,255.5,21.9,6.0,0.35,Partly cloudy throughout the day.,fcst,New York City,15.299999999999995,76.82877911445621,2.54,9.0,Fall,Friday,False,9.23989791144562
2024-09-14,72.8,72.8,60.0,65.0,0.0,0.0,1021.3,26.6,15.0,252.8,21.7,6.0,0.39,Partly cloudy throughout the day.,fcst,New York City,13.5,75.76008992079994,2.61,9.0,Fall,Saturday,True,9.272508992079992
2024-09-15,70.2,70.2,58.1,66.1,0.0,0.0,1027.2,39.0,15.0,153.8,13.3,5.0,0.42,Partly cloudy throughout the day.,fcst,New York City,7.599999999999994,74.79842990258396,2.16,9.0,Fall,Sunday,True,8.907602990258395
2024-09-16,68.5,68.5,50.3,53.4,0.0,0.0,1029.9,0.3,15.0,234.3,20.2,8.0,0.45,Clear conditions throughout the day.,fcst,New York City,9.900000000000006,76.93726723160005,3.05,9.0,Fall,Monday,False,9.322426723160005
2024-09-17,68.4,68.4,52.2,57.1,0.126,0.0,1027.4,68.9,15.0,225.8,19.5,8.0,0.5,Partly cloudy throughout the day with a chance of rain.,fcst,New York City,11.500000000000009,76.51281535731609,3.2226,9.0,Fall,Tuesday,False,9.49138613573161
2024-09-18,69.8,69.8,58.5,67.7,0.0,0.0,1023.7,99.9,15.0,124.0,10.5,4.0,0.52,Cloudy skies throughout the day.,fcst,New York City,9.299999999999995,74.39207748517606,1.65,9.0,Fall,Wednesday,False,8.556257748517606
2024-09-19,73.6,73.6,60.9,65.7,0.189,0.0,1019.5,64.5,14.9,191.6,16.5,7.0,0.55,Partly cloudy throughout the day.,fcst,New York City,12.200000000000005,76.08444097936403,2.2489,9.0,Fall,Thursday,False,9.085971397936405
2024-09-20,76.1,76.1,62.9,66.3,0.0,0.0,1017.0,26.7,15.0,219.4,19.1,7.0,0.59,Clearing in the afternoon.,fcst,New York City,16.400000000000006,77.91160402954921,2.41,9.0,Fall,Friday,False,9.38899040295492
2024-09-21,76.3,76.3,58.8,55.5,0.445,0.0,1018.8,33.1,15.0,216.4,18.6,7.0,0.62,Becoming cloudy in the afternoon.,fcst,New York City,12.400000000000006,78.25467340332523,2.5845,9.0,Fall,Saturday,True,9.259864840332522
2024-09-07,58.1,58.1,42.1,55.8,0.0,0.0,1022.2,19.3,10.0,192.3,16.6,8.0,0.15,Clear conditions throughout the day.,comb,Chicago,12.900000000000006,85.05712155150404,4.24,9.0,Fall,Saturday,True,10.871632155150404
2024-09-08,62.9,62.9,45.8,54.9,0.0,0.0,1021.0,12.3,10.1,254.4,21.9,8.0,0.19,Clear conditions throughout the day.,fcst,Chicago,20.800000000000004,79.81196684718101,3.21,9.0,Fall,Sunday,True,9.743486684718102
2024-09-09,70.6,70.5,50.8,50.7,0.0,0.0,1020.1,4.5,10.1,277.5,24.0,7.0,0.22,Clear conditions throughout the day.,fcst,Chicago,21.90000000000001,76.84692668482401,2.9,9.0,Fall,Monday,False,9.1549926684824
2024-09-10,72.5,72.4,52.5,50.4,0.0,0.0,1019.0,6.7,12.1,255.4,22.0,7.0,0.25,Clear conditions throughout the day.,fcst,Chicago,20.5,76.9549435303,2.72,9.0,Fall,Tuesday,False,9.06637435303
2024-09-11,74.5,74.4,55.1,51.5,0.0,0.0,1015.9,7.9,15.0,250.3,21.6,7.0,0.25,Clear conditions throughout the day.,fcst,Chicago,19.60000000000001,77.4206489931252,2.79,9.0,Fall,Wednesday,False,9.17891489931252
2024-09-12,75.5,75.6,58.6,56.4,0.0,0.0,1016.3,11.6,15.0,245.3,21.3,7.0,0.32,Clear conditions throughout the day.,fcst,Chicago,17.099999999999994,77.76829591030017,2.74,9.0,Fall,Thursday,False,9.322189591030018
2024-09-13,75.2,75.4,59.9,59.5,0.012,0.0,1018.5,17.5,15.0,242.5,20.9,7.0,0.35,Clear conditions throughout the day.,fcst,Chicago,14.300000000000011,77.4982365621002,2.8312,9.0,Fall,Friday,False,9.43438765621002
2024-09-14,73.6,73.6,61.0,65.1,0.063,0.0,1018.9,34.5,15.0,90.6,7.8,2.0,0.39,Partly cloudy throughout the day.,fcst,Chicago,11.799999999999995,76.15206869675607,1.8163,9.0,Fall,Saturday,True,8.797618169675607
2024-09-15,74.5,74.5,56.8,55.6,0.012,0.0,1017.9,89.6,15.0,104.8,9.1,5.0,0.42,Partly cloudy throughout the day.,fcst,Chicago,10.799999999999995,77.29616237310022,2.2112,9.0,Fall,Sunday,True,8.959043437310022
2024-09-16,78.9,78.7,59.5,52.9,0.004,0.0,1017.9,63.1,15.0,140.3,12.1,7.0,0.45,Partly cloudy throughout the day.,fcst,Chicago,17.599999999999994,80.08794189170109,2.9904,9.0,Fall,Monday,False,9.590715789170108
2024-09-17,79.2,78.2,52.0,42.2,0.0,0.0,1017.8,9.2,15.0,201.6,17.5,7.0,0.5,Clear conditions throughout the day.,fcst,Chicago,15.799999999999995,79.56179029945604,3.79,9.0,Fall,Tuesday,False,9.555559029945604
2024-09-18,77.4,76.7,49.0,38.0,0.012,0.0,1016.9,8.4,15.0,206.1,17.9,7.0,0.52,Clear conditions throughout the day.,fcst,Chicago,18.8,78.31337873680005,3.1012,9.0,Fall,Wednesday,False,9.009793873680003
2024-09-19,78.1,77.4,55.4,47.6,0.0,0.0,1015.1,11.5,15.0,202.3,17.4,7.0,0.55,Clear conditions throughout the day.,fcst,Chicago,17.10000000000001,79.18261557079612,2.61,9.0,Fall,Thursday,False,9.160621557079612
2024-09-20,77.5,77.3,59.1,54.4,0.0,0.0,1016.1,6.3,15.0,196.4,17.1,7.0,0.59,Clear conditions throughout the day.,fcst,Chicago,15.299999999999995,79.05618649230014,2.76,9.0,Fall,Friday,False,9.407058649230017
2024-09-21,76.6,76.5,60.1,58.1,0.004,0.0,1020.3,9.8,15.0,194.1,16.6,7.0,0.62,Clear conditions throughout the day.,fcst,Chicago,15.099999999999994,78.45930296677626,3.8204,9.0,Fall,Saturday,True,10.065582696677629
2024-09-07,69.2,69.2,62.0,78.4,0.111,0.0,1011.7,81.0,9.9,112.3,9.7,5.0,0.15,Partly cloudy throughout the day with afternoon rain.,comb,Philadelphia,14.5,71.08028947766425,3.0911,9.0,Fall,Saturday,True,9.531451347766426
2024-09-08,62.0,62.0,43.1,52.7,0.0,0.0,1017.7,5.4,10.1,278.2,24.0,8.0,0.19,Clear conditions throughout the day.,fcst,Philadelphia,16.1,80.84027156890005,3.9,9.0,Fall,Sunday,True,10.139327156890005
2024-09-09,64.8,64.8,46.6,53.9,0.0,0.0,1020.5,5.0,10.1,308.5,27.0,7.0,0.22,Clear conditions throughout the day.,fcst,Philadelphia,24.800000000000004,78.51955406808412,3.12,9.0,Fall,Monday,False,9.533635406808411
2024-09-10,70.4,70.3,54.4,58.4,0.028,0.0,1019.8,3.0,11.9,265.5,22.8,6.0,0.25,Clear conditions throughout the day.,fcst,Philadelphia,21.59999999999999,76.11885286393604,2.3028,9.0,Fall,Tuesday,False,8.956720486393603
